,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,City (US),State (US),Postal Code (US),Returned,Order_YMD,Order Day,Order Month,Order Year
8411,12,CA-2014-114412,2014-04-16,4/21/14,3,6.48,0.2,15.552,5.4432,10.1088,0.35,Office Supplies,Paper,Xerox 1967,Consumer,Andrew Allen,United States,US-South,Concord,North Carolina,28027,0,2014-04-16,16,4,2014
8412,13,CA-2013-161389,2013-12-06,12/11/13,3,169.99,0.2,407.976,132.5922,275.3838,0.325,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Consumer,Irene Maddox,United States,US-West,Seattle,Washington,98103,0,2013-12-06,6,12,2013
8413,14,US-2012-118983,2012-11-22,11/26/12,5,68.81,0.8,68.81,-123.858,192.668,-1.8,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Home Office,Harold Pawlan,United States,US-Central,Fort Worth,Texas,76106,0,2012-11-22,22,11,2012
8414,15,US-2012-118983,2012-11-22,11/26/12,3,4.24,0.8,2.544,-3.816,6.36,-1.5,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Home Office,Harold Pawlan,United States,US-Central,Fort Worth,Texas,76106,0,2012-11-22,22,11,2012
8415,16,CA-2011-105893,2011-11-11,11/18/11,6,110.98,0.0,665.88,13.3176,652.5624,0.02,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,Pete Kriz,United States,US-Central,Madison,Wisconsin,53711,0,2011-11-11,11,11,2011
8416,17,CA-2011-167164,2011-05-13,5/15/11,2,27.75,0.0,55.5,9.99,45.51,0.18,Office Supplies,Storage,Fellowes Super Stor/Drawer,Consumer,Alejandro Grove,United States,US-West,West Jordan,Utah,84084,0,2011-05-13,13,5,2011
8417,18,CA-2011-143336,2011-08-27,9/1/11,2,4.28,0.0,8.56,2.4824,6.0776,0.29,Office Supplies,Art,Newell 341,Consumer,Zuschuss Donatelli,United States,US-West,San Francisco,California,94109,1,2011-08-27,27,8,2011
8418,19,CA-2011-143336,2011-08-27,9/1/11,3,88.95,0.2,213.48,16.011,197.469,0.075,Technology,Phones,Cisco SPA 501G IP Phone,Consumer,Zuschuss Donatelli,United States,US-West,San Francisco,California,94109,1,2011-08-27,27,8,2011
8419,20,CA-2011-143336,2011-08-27,9/1/11,4,7.1,0.2,22.72,7.384,15.336,0.325,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Consumer,Zuschuss Donatelli,United States,US-West,San Francisco,California,94109,1,2011-08-27,27,8,2011
8420,21,CA-2013-137330,2013-12-10,12/14/13,7,2.78,0.0,19.46,5.0596,14.4004,0.26,Office Supplies,Art,Newell 318,Corporate,Ken Black,United States,US-Central,Fremont,Nebraska,68025,0,2013-12-10,10,12,2013
8421,22,CA-2013-137330,2013-12-10,12/14/13,7,8.62,0.0,60.34,15.6884,44.6516,0.26,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Corporate,Ken Black,United States,US-Central,Fremont,Nebraska,68025,0,2013-12-10,10,12,2013
8422,23,US-2014-156909,2014-07-17,7/19/14,2,50.98,0.3,71.372,-1.0196,72.3916,-0.014285714,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Consumer,Sandra Flanagan,United States,US-East,Philadelphia,Pennsylvania,19140,0,2014-07-17,17,7,2014
8423,24,CA-2012-106320,2012-09-25,9/30/12,3,348.21,0.0,1044.63,240.2649,804.3651,0.23,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Consumer,Emily Burns,United States,US-West,Orem,Utah,84057,0,2012-09-25,25,9,2012
8424,25,CA-2013-121755,2013-01-16,1/20/13,2,7.28,0.2,11.648,4.2224,7.4256,0.3625,Office Supplies,Binders,Wilson Jones Active Use Binders,Consumer,Eric Hoffmann,United States,US-West,Los Angeles,California,90049,0,2013-01-16,16,1,2013
8425,26,CA-2013-121755,2013-01-16,1/20/13,3,30.19,0.0,90.57,11.7741,78.7959,0.13,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,Consumer,Eric Hoffmann,United States,US-West,Los Angeles,California,90049,0,2013-01-16,16,1,2013
8426,27,US-2012-150630,2012-09-17,9/21/12,7,880.98,0.5,3083.43,-1665.0522,4748.4822,-0.54,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8427,28,US-2012-150630,2012-09-17,9/21/12,2,16.03,0.7,9.618,-7.0532,16.6712,-0.733333333,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8428,29,US-2012-150630,2012-09-17,9/21/12,3,51.75,0.2,124.2,15.525,108.675,0.125,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8429,30,US-2012-150630,2012-09-17,9/21/12,2,2.04,0.2,3.264,1.1016,2.1624,0.3375,Office Supplies,Envelopes,Poly String Tie Envelopes,Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8430,31,US-2012-150630,2012-09-17,9/21/12,6,17.98,0.2,86.304,9.7092,76.5948,0.1125,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8431,32,US-2012-150630,2012-09-17,9/21/12,6,3.81,0.7,6.858,-5.715,12.573,-0.833333333,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8432,33,US-2012-150630,2012-09-17,9/21/12,2,9.85,0.2,15.76,3.546,12.214,0.225,Office Supplies,Art,Lumber Crayons,Consumer,Tracy Blumstein,United States,US-East,Philadelphia,Pennsylvania,19140,0,2012-09-17,17,9,2012
8433,34,CA-2014-107727,2014-10-20,10/24/14,3,12.28,0.2,29.472,9.9468,19.5252,0.3375,Office Supplies,Paper,Staples,Home Office,Matt Abelman,United States,US-Central,Houston,Texas,77095,0,2014-10-20,20,10,2014
8434,35,CA-2013-117590,2013-12-09,12/11/13,7,195.99,0.2,1097.544,123.4737,974.0703,0.1125,Technology,Phones,GE 30524EE4,Corporate,Gene Hale,United States,US-Central,Richardson,Texas,75080,0,2013-12-09,9,12,2013
8435,36,CA-2013-117590,2013-12-09,12/11/13,5,95.46,0.6,190.92,-147.963,338.883,-0.775,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Corporate,Gene Hale,United States,US-Central,Richardson,Texas,75080,0,2013-12-09,9,12,2013
8436,37,CA-2012-117415,2012-12-27,12/31/12,9,15.74,0.2,113.328,35.415,77.913,0.3125,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,Steve Nguyen,United States,US-Central,Houston,Texas,77041,0,2012-12-27,27,12,2012
8437,38,CA-2012-117415,2012-12-27,12/31/12,3,260.98,0.32,532.3992,-46.9764,579.3756,-0.088235294,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Home Office,Steve Nguyen,United States,US-Central,Houston,Texas,77041,0,2012-12-27,27,12,2012
8438,39,CA-2012-117415,2012-12-27,12/31/12,3,100.98,0.3,212.058,-15.147,227.205,-0.071428571,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Home Office,Steve Nguyen,United States,US-Central,Houston,Texas,77041,0,2012-12-27,27,12,2012
8439,40,CA-2012-117415,2012-12-27,12/31/12,4,115.99,0.2,371.168,41.7564,329.4116,0.1125,Technology,Phones,Plantronics HL10 Handset Lifter,Home Office,Steve Nguyen,United States,US-Central,Houston,Texas,77041,0,2012-12-27,27,12,2012
8440,41,CA-2014-120999,2014-09-11,9/16/14,4,45.99,0.2,147.168,16.5564,130.6116,0.1125,Technology,Phones,Panasonic Kx-TS550,Corporate,Linda Cazamias,United States,US-Central,Naperville,Illinois,60540,0,2014-09-11,11,9,2014
8441,42,CA-2013-101343,2013-07-18,7/23/13,2,38.94,0.0,77.88,3.894,73.986,0.05,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",Corporate,Ruben Ausman,United States,US-West,Los Angeles,California,90049,0,2013-07-18,18,7,2013
8442,43,CA-2014-139619,2014-09-20,9/24/14,2,59.76,0.2,95.616,9.5616,86.0544,0.1,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,Erin Smith,United States,US-South,Melbourne,Florida,32935,0,2014-09-20,20,9,2014
8443,44,CA-2013-118255,2013-03-12,3/14/13,2,22.99,0.0,45.98,19.7714,26.2086,0.43,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Corporate,Odella Nelson,United States,US-Central,Eagan,Minnesota,55122,0,2013-03-12,12,3,2013
8444,45,CA-2013-118255,2013-03-12,3/14/13,2,8.73,0.0,17.46,8.2062,9.2538,0.47,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Corporate,Odella Nelson,United States,US-Central,Eagan,Minnesota,55122,0,2013-03-12,12,3,2013
8445,46,CA-2011-146703,2011-10-20,10/25/11,4,52.99,0.0,211.96,8.4784,203.4816,0.04,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Consumer,Patrick O'Donnell,United States,US-Central,Westland,Michigan,48185,0,2011-10-20,20,10,2011
8446,47,CA-2013-169194,2013-06-21,6/26/13,3,15.0,0.0,45.0,4.95,40.05,0.11,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Consumer,Lena Hernandez,United States,US-East,Dover,Delaware,19901,0,2013-06-21,21,6,2013
8447,48,CA-2013-169194,2013-06-21,6/26/13,2,10.9,0.0,21.8,6.104,15.696,0.28,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Consumer,Lena Hernandez,United States,US-East,Dover,Delaware,19901,0,2013-06-21,21,6,2013
8448,49,CA-2012-115742,2012-04-18,4/22/12,6,6.37,0.0,38.22,17.9634,20.2566,0.47,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Consumer,Darren Powers,United States,US-Central,New Albany,Indiana,47150,0,2012-04-18,18,4,2012
8449,50,CA-2012-115742,2012-04-18,4/22/12,6,12.53,0.0,75.18,35.3346,39.8454,0.47,Office Supplies,Labels,Avery 485,Consumer,Darren Powers,United States,US-Central,New Albany,Indiana,47150,0,2012-04-18,18,4,2012
8450,51,CA-2012-115742,2012-04-18,4/22/12,2,3.08,0.0,6.16,2.9568,3.2032,0.48,Furniture,Furnishings,Longer-Life Soft White Bulbs,Consumer,Darren Powers,United States,US-Central,New Albany,Indiana,47150,0,2012-04-18,18,4,2012
8451,52,CA-2012-115742,2012-04-18,4/22/12,1,89.99,0.0,89.99,17.0981,72.8919,0.19,Furniture,Chairs,"Global Leather Task Chair, Black",Consumer,Darren Powers,United States,US-Central,New Albany,Indiana,47150,0,2012-04-18,18,4,2012
8452,53,CA-2013-105816,2013-12-12,12/18/13,7,2.18,0.0,15.26,6.2566,9.0034,0.41,Office Supplies,Fasteners,Advantus Push Pins,Corporate,Janet Molinari,United States,US-East,New York City,New York,10024,0,2013-12-12,12,12,2013
8453,54,CA-2013-105816,2013-12-12,12/18/13,5,205.99,0.0,1029.95,298.6855,731.2645,0.29,Technology,Phones,AT&T CL83451 4-Handset Telephone,Corporate,Janet Molinari,United States,US-East,New York City,New York,10024,0,2013-12-12,12,12,2013
8454,55,CA-2013-111682,2013-06-18,6/19/13,6,34.76,0.0,208.56,52.14,156.42,0.25,Office Supplies,Storage,Home/Office Personal File Carts,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8455,56,CA-2013-111682,2013-06-18,6/19/13,5,6.48,0.0,32.4,15.552,16.848,0.48,Office Supplies,Paper,Xerox 232,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8456,57,CA-2013-111682,2013-06-18,6/19/13,5,70.98,0.1,319.41,7.098,312.312,0.022222222,Furniture,Chairs,Novimex Turbo Task Chair,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8457,58,CA-2013-111682,2013-06-18,6/19/13,2,7.28,0.0,14.56,6.9888,7.5712,0.48,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8458,59,CA-2013-111682,2013-06-18,6/19/13,2,15.0,0.0,30.0,3.3,26.7,0.11,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8459,60,CA-2013-111682,2013-06-18,6/19/13,4,15.15,0.2,48.48,16.362,32.118,0.3375,Office Supplies,Binders,Plastic Binding Combs,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8460,61,CA-2013-111682,2013-06-18,6/19/13,1,1.68,0.0,1.68,0.84,0.84,0.5,Office Supplies,Art,Prang Dustless Chalk Sticks,Consumer,Ted Butterfield,United States,US-East,Troy,New York,12180,1,2013-06-18,18,6,2013
8461,62,CA-2012-135545,2012-11-24,11/30/12,2,6.99,0.0,13.98,6.1512,7.8288,0.44,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Consumer,Kunst Miller,United States,US-West,Los Angeles,California,90004,0,2012-11-24,24,11,2012
8462,63,CA-2012-135545,2012-11-24,11/30/12,6,5.38,0.2,25.824,9.3612,16.4628,0.3625,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Consumer,Kunst Miller,United States,US-West,Los Angeles,California,90004,0,2012-11-24,24,11,2012
8463,64,CA-2012-135545,2012-11-24,11/30/12,3,48.91,0.0,146.73,68.9631,77.7669,0.47,Office Supplies,Paper,Xerox 1943,Consumer,Kunst Miller,United States,US-West,Los Angeles,California,90004,0,2012-11-24,24,11,2012
8464,65,CA-2012-135545,2012-11-24,11/30/12,4,19.94,0.0,79.76,22.3328,57.4272,0.28,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Consumer,Kunst Miller,United States,US-West,Los Angeles,California,90004,0,2012-11-24,24,11,2012
8465,66,US-2012-164175,2012-04-30,5/5/12,5,60.89,0.3,213.115,-15.2225,228.3375,-0.071428571,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Home Office,Paul Stevenson,United States,US-Central,Chicago,Illinois,60610,0,2012-04-30,30,4,2012
8466,67,CA-2011-106376,2011-12-05,12/10/11,8,173.91,0.2,1113.024,111.3024,1001.7216,0.1,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Corporate,Brendan Sweed,United States,US-West,Gilbert,Arizona,85234,0,2011-12-05,5,12,2011
8467,68,CA-2011-106376,2011-12-05,12/10/11,4,52.49,0.2,167.968,62.988,104.98,0.375,Technology,Phones,netTALK DUO VoIP Telephone Service,Corporate,Brendan Sweed,United States,US-West,Gilbert,Arizona,85234,0,2011-12-05,5,12,2011
8468,69,CA-2013-119823,2013-06-05,6/7/13,2,37.94,0.0,75.88,35.6636,40.2164,0.47,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Consumer,Karen Daniels,United States,US-South,Springfield,Virginia,22153,0,2013-06-05,5,6,2013
8469,70,CA-2013-106075,2013-09-19,9/24/13,1,5.77,0.2,4.616,1.731,2.885,0.375,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Consumer,Henry MacAllister,United States,US-East,New York City,New York,10009,0,2013-09-19,19,9,2013
8470,71,CA-2014-114440,2014-09-15,9/18/14,3,6.35,0.0,19.05,8.763,10.287,0.46,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Consumer,Tracy Blumstein,United States,US-Central,Jackson,Michigan,49201,0,2014-09-15,15,9,2014
8471,72,US-2012-134026,2012-04-26,5/2/12,8,129.99,0.2,831.936,-114.3912,946.3272,-0.1375,Furniture,Chairs,High-Back Leather Manager's Chair,Consumer,Joel Eaton,United States,US-South,Memphis,Tennessee,38109,0,2012-04-26,26,4,2012
8472,73,US-2012-134026,2012-04-26,5/2/12,2,60.65,0.2,97.04,1.213,95.827,0.0125,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Consumer,Joel Eaton,United States,US-South,Memphis,Tennessee,38109,0,2012-04-26,26,4,2012
8473,74,US-2012-134026,2012-04-26,5/2/12,1,90.98,0.2,72.784,-18.196,90.98,-0.25,Office Supplies,Storage,Safco Industrial Wire Shelving System,Consumer,Joel Eaton,United States,US-South,Memphis,Tennessee,38109,0,2012-04-26,26,4,2012
8474,75,US-2014-118038,2014-12-10,12/12/14,3,2.08,0.8,1.248,-1.9344,3.1824,-1.55,Office Supplies,Binders,Economy Binders,Corporate,Ken Brennan,United States,US-Central,Houston,Texas,77041,0,2014-12-10,10,12,2014
8475,76,US-2014-118038,2014-12-10,12/12/14,3,8.09,0.6,9.708,-5.8248,15.5328,-0.6,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",Corporate,Ken Brennan,United States,US-Central,Houston,Texas,77041,0,2014-12-10,10,12,2014
8476,77,US-2014-118038,2014-12-10,12/12/14,3,11.35,0.2,27.24,2.724,24.516,0.1,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,Ken Brennan,United States,US-Central,Houston,Texas,77041,0,2014-12-10,10,12,2014
8477,78,US-2011-147606,2011-11-26,12/1/11,5,9.65,0.6,19.3,-14.475,33.775,-0.75,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Joel Eaton,United States,US-Central,Houston,Texas,77070,0,2011-11-26,26,11,2011
8478,79,CA-2013-127208,2013-06-13,6/16/13,1,208.16,0.0,208.16,56.2032,151.9568,0.27,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Corporate,Stewart Carmichael,United States,US-South,Decatur,Alabama,35601,0,2013-06-13,13,6,2013
8479,80,CA-2013-127208,2013-06-13,6/16/13,3,5.58,0.0,16.74,8.0352,8.7048,0.48,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,Corporate,Stewart Carmichael,United States,US-South,Decatur,Alabama,35601,0,2013-06-13,13,6,2013
8480,81,CA-2011-139451,2011-10-12,10/16/11,5,2.98,0.0,14.9,4.172,10.728,0.28,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Consumer,Duane Noonan,United States,US-West,San Francisco,California,94122,0,2011-10-12,12,10,2011
8481,82,CA-2011-139451,2011-10-12,10/16/11,1,21.39,0.0,21.39,6.2031,15.1869,0.29,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",Consumer,Duane Noonan,United States,US-West,San Francisco,California,94122,0,2011-10-12,12,10,2011
8482,83,CA-2012-149734,2012-09-03,9/8/12,7,35.89,0.2,200.984,62.8075,138.1765,0.3125,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Corporate,Julie Creighton,United States,US-South,Durham,North Carolina,27707,0,2012-09-03,3,9,2012
8483,84,US-2014-119662,2014-11-14,11/17/14,3,95.99,0.2,230.376,-48.9549,279.3309,-0.2125,Office Supplies,Storage,Safco Industrial Wire Shelving,Home Office,Christopher Schild,United States,US-Central,Chicago,Illinois,60623,0,2014-11-14,14,11,2014
8484,85,CA-2014-140088,2014-05-29,5/31/14,2,150.98,0.0,301.96,33.2156,268.7444,0.11,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Consumer,Patrick O'Donnell,United States,US-South,Columbia,South Carolina,29203,0,2014-05-29,29,5,2014
8485,86,CA-2014-155558,2014-10-27,11/3/14,1,19.99,0.0,19.99,6.7966,13.1934,0.34,Technology,Accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Consumer,Paul Gonzalez,United States,US-Central,Rochester,Minnesota,55901,0,2014-10-27,27,10,2014
8486,87,CA-2014-155558,2014-10-27,11/3/14,2,3.08,0.0,6.16,2.9568,3.2032,0.48,Office Supplies,Labels,Avery 511,Consumer,Paul Gonzalez,United States,US-Central,Rochester,Minnesota,55901,0,2014-10-27,27,10,2014
8487,88,CA-2013-159695,2013-04-06,4/11/13,7,28.28,0.2,158.368,13.8572,144.5108,0.0875,Office Supplies,Storage,Eldon Portable Mobile Manager,Home Office,Gary Mitchum,United States,US-Central,Houston,Texas,77095,0,2013-04-06,6,4,2013
8488,89,CA-2013-109806,2013-09-18,9/23/13,3,6.7,0.0,20.1,6.633,13.467,0.33,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,Corporate,Jim Sink,United States,US-West,Los Angeles,California,90036,1,2013-09-18,18,9,2013
8489,90,CA-2013-109806,2013-09-18,9/23/13,2,45.99,0.2,73.584,8.2782,65.3058,0.1125,Technology,Phones,Panasonic Kx-TS550,Corporate,Jim Sink,United States,US-West,Los Angeles,California,90036,1,2013-09-18,18,9,2013
8490,91,CA-2013-109806,2013-09-18,9/23/13,1,6.48,0.0,6.48,3.1104,3.3696,0.48,Office Supplies,Paper,Xerox 1995,Corporate,Jim Sink,United States,US-West,Los Angeles,California,90036,1,2013-09-18,18,9,2013
8491,92,CA-2012-149587,2012-01-31,2/5/12,2,6.48,0.0,12.96,6.2208,6.7392,0.48,Office Supplies,Paper,Xerox 1999,Consumer,Karl Braun,United States,US-Central,Minneapolis,Minnesota,55407,0,2012-01-31,31,1,2012
8492,93,CA-2012-149587,2012-01-31,2/5/12,3,17.78,0.0,53.34,16.5354,36.8046,0.31,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Consumer,Karl Braun,United States,US-Central,Minneapolis,Minnesota,55407,0,2012-01-31,31,1,2012
8493,94,CA-2012-149587,2012-01-31,2/5/12,2,16.48,0.0,32.96,16.1504,16.8096,0.49,Office Supplies,Binders,Ibico Standard Transparent Covers,Consumer,Karl Braun,United States,US-Central,Minneapolis,Minnesota,55407,0,2012-01-31,31,1,2012
8494,95,US-2014-109484,2014-11-07,11/13/14,1,18.94,0.7,5.682,-3.788,9.47,-0.666666667,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,Home Office,Roger Barcio,United States,US-West,Portland,Oregon,97206,0,2014-11-07,7,11,2014
8495,96,CA-2014-161018,2014-11-10,11/12/14,7,13.79,0.0,96.53,40.5426,55.9874,0.42,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,Home Office,Parhena Norris,United States,US-East,New York City,New York,10009,0,2014-11-10,10,11,2014
8496,97,CA-2014-157833,2014-06-18,6/21/14,3,21.38,0.2,51.312,17.9592,33.3528,0.35,Office Supplies,Binders,Trimflex Flexible Post Binders,Consumer,Katherine Ducich,United States,US-West,San Francisco,California,94122,0,2014-06-18,18,6,2014
8497,98,CA-2013-149223,2013-09-07,9/12/13,6,12.98,0.0,77.88,22.5852,55.2948,0.29,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,Corporate,Elpida Rittenbach,United States,US-Central,Saint Paul,Minnesota,55106,0,2013-09-07,7,9,2013
