,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,Province (CA),Returned,Order_YMD,Order Day,Order Month,Order Year
51,51,5409,2012-01-08,1/13/12,11,3.98,0.01,48.91,-7.04,55.95,-0.143937845,Office Supplies,Paper,Unpadded Memo Slips,Corporate,Don Jones,Canada,CA-Nunavut,Nunavut,0,2012-01-08,8,1,2012
52,52,5506,2010-11-07,11/8/10,22,5.88,0.05,129.62,4.41,125.21,0.034022527,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Corporate,Beth Thompson,Canada,CA-Nunavut,Nunavut,0,2010-11-07,7,11,2010
53,53,5569,2010-04-29,5/1/10,12,9.65,0.09,118.97,-0.06,119.03,-0.000504329,Furniture,Office Furnishings,"Eldon Expressionsâ„¢ Desk Accessory, Wood Pencil Holder, Oak",Corporate,Frank Price,Canada,CA-Nunavut,Nunavut,0,2010-04-29,29,4,2010
54,54,5607,2011-12-31,1/3/12,8,7.99,0.0,61.8715,-50.33,112.2015,-0.813460155,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Home Office,Michelle Lonsdale,Canada,CA-Nunavut,Nunavut,0,2011-12-31,31,12,2011
55,55,5894,2009-08-12,8/13/09,7,58.1,0.1,384.33,87.68,296.65,0.228137278,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Corporate,Ann Chong,Canada,CA-Nunavut,Nunavut,0,2009-08-12,12,8,2009
56,56,5894,2009-08-12,8/15/09,3,80.48,0.01,239.03,-68.22,307.25,-0.285403506,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Corporate,Ann Chong,Canada,CA-Nunavut,Nunavut,0,2009-08-12,12,8,2009
57,57,5925,2011-11-12,11/19/11,44,92.23,0.08,3922.42,-354.9,4277.32,-0.090479857,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Home Office,Joy Bell,Canada,CA-Nunavut,Nunavut,0,2011-11-12,12,11,2011
58,58,5925,2011-11-12,11/19/11,25,85.99,0.07,1733.3625,-267.01,2000.3725,-0.154041639,Technology,Telephones and Communication,Accessory4,Home Office,Joy Bell,Canada,CA-Nunavut,Nunavut,0,2011-11-12,12,11,2011
59,59,6016,2012-01-20,1/20/12,19,11.48,0.07,208.28,3.63,204.65,0.017428462,Office Supplies,Paper,Personal Creationsâ„¢ Ink Jet Cards and Labels,Home Office,Skye Norling,Canada,CA-Nunavut,Nunavut,0,2012-01-20,20,1,2012
60,60,6116,2009-03-20,3/22/09,6,1637.53,0.04,9620.82,-1759.58,11380.4,-0.182892934,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Corporate,Barry Weirich,Canada,CA-Nunavut,Nunavut,0,2009-03-20,20,3,2009
61,61,6182,2012-07-21,7/28/12,40,6.48,0.04,255.48,-116.79,372.27,-0.457139502,Office Supplies,Paper,Xerox 1966,Corporate,Grant Carroll,Canada,CA-Nunavut,Nunavut,0,2012-07-21,21,7,2012
62,62,6182,2012-07-21,7/25/12,18,6.48,0.04,130.32,-67.28,197.6,-0.516267649,Office Supplies,Paper,Xerox 213,Corporate,Grant Carroll,Canada,CA-Nunavut,Nunavut,0,2012-07-21,21,7,2012
63,63,6535,2012-06-12,6/15/12,11,28.15,0.07,312.36,-19.33,331.69,-0.061883724,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Corporate,Adrian Hane,Canada,CA-Nunavut,Nunavut,0,2012-06-12,12,6,2012
64,64,6884,2009-01-15,1/20/09,41,4.98,0.01,217.0,-61.21,278.21,-0.282073733,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Home Office,Skye Norling,Canada,CA-Nunavut,Nunavut,0,2009-01-15,15,1,2009
65,65,6884,2009-01-15,1/20/09,47,6.35,0.04,296.13,119.09,177.04,0.402154459,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Home Office,Skye Norling,Canada,CA-Nunavut,Nunavut,0,2009-01-15,15,1,2009
66,66,6916,2010-06-04,6/8/10,40,10.9,0.08,436.17,-141.27,577.44,-0.323887475,Office Supplies,Storage & Organization,Crate-A-Filesâ„¢,Consumer,Andrew Gjertsen,Canada,CA-Nunavut,Nunavut,0,2010-06-04,4,6,2010
67,67,6980,2010-02-18,2/19/10,18,7.3,0.05,136.29,-77.28,213.57,-0.567026194,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Consumer,Ralph Knight,Canada,CA-Nunavut,Nunavut,0,2010-02-18,18,2,2010
68,68,6982,2011-11-16,11/18/11,32,39.48,0.0,1311.25,407.44,903.81,0.310726406,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Corporate,Dorothy Wardle,Canada,CA-Nunavut,Nunavut,0,2011-11-16,16,11,2011
69,69,6982,2011-11-16,11/18/11,5,100.98,0.09,544.41,-338.27,882.68,-0.621351555,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Corporate,Dorothy Wardle,Canada,CA-Nunavut,Nunavut,0,2011-11-16,16,11,2011
70,70,6982,2011-11-16,11/18/11,41,19.98,0.04,844.09,52.56,791.53,0.062268242,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Corporate,Dorothy Wardle,Canada,CA-Nunavut,Nunavut,0,2011-11-16,16,11,2011
71,71,7110,2011-08-07,8/11/11,22,276.2,0.02,6396.2,1902.24,4493.96,0.297401582,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Corporate,Grant Carroll,Canada,CA-Nunavut,Nunavut,0,2011-08-07,7,8,2011
72,72,7430,2010-06-08,6/9/10,50,15.67,0.05,751.77,353.2,398.57,0.469824547,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Corporate,Barry Weirich,Canada,CA-Nunavut,Nunavut,0,2010-06-08,8,6,2010
73,73,7906,2009-10-17,10/17/09,37,25.98,0.03,1003.06,271.78,731.28,0.27095089,Office Supplies,Appliances,3M Office Air Cleaner,Consumer,Beth Paige,Canada,CA-Nunavut,Nunavut,0,2009-10-17,17,10,2009
74,74,8391,2011-08-28,8/29/11,4,300.98,0.04,1266.72,-268.36,1535.08,-0.211854238,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Corporate,Sylvia Foulston,Canada,CA-Nunavut,Nunavut,0,2011-08-28,28,8,2011
75,75,8419,2011-09-29,10/1/11,19,19.98,0.07,368.04,70.39,297.65,0.191256385,Office Supplies,Paper,Xerox 1936,Small Business,Nicole Hansen,Canada,CA-Nunavut,Nunavut,0,2011-09-29,29,9,2011
76,76,8419,2011-09-29,9/30/11,24,6.48,0.1,152.6,-86.62,239.22,-0.567627785,Office Supplies,Paper,Xerox 214,Small Business,Nicole Hansen,Canada,CA-Nunavut,Nunavut,0,2011-09-29,29,9,2011
77,77,8833,2012-05-04,5/8/12,40,80.98,0.0,3338.98,-846.73,4185.71,-0.25358942,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Small Business,Nicole Hansen,Canada,CA-Nunavut,Nunavut,0,2012-05-04,4,5,2012
78,78,8995,2011-05-17,5/18/11,5,1.88,0.08,24.16,8.05,16.11,0.333195364,Office Supplies,Binders and Binder Accessories,StaplesÂ® General Use 3-Ring Binders,Consumer,Beth Paige,Canada,CA-Nunavut,Nunavut,0,2011-05-17,17,5,2011
79,79,8995,2011-05-17,5/18/11,41,6.48,0.1,270.84,-78.02,348.86,-0.288066755,Office Supplies,Paper,Xerox 1904,Consumer,Beth Paige,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-17,17,5,2011
80,80,8995,2011-05-17,5/18/11,35,102.3,0.08,3389.93,737.94,2651.99,0.217685911,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Consumer,Beth Paige,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-17,17,5,2011
81,81,8995,2011-05-17,5/18/11,42,6.48,0.07,266.36,-191.28,457.64,-0.718125845,Office Supplies,Paper,Xerox 217,Consumer,Beth Paige,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-17,17,5,2011
82,82,8995,2011-05-17,5/19/11,46,1.89,0.01,89.41,-21.49,110.9,-0.240353428,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Consumer,Beth Paige,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-17,17,5,2011
83,83,9126,2009-11-17,11/18/09,47,62.05,0.04,2799.7,884.08,1915.62,0.31577669,Office Supplies,Appliances,"Acco Smartsocketâ„¢ Table Surge Protector, 6 Color-Coded Adapter Outlets",Corporate,Sylvia Foulston,Canada,CA-Northwest Territories,Northwest Territories,0,2009-11-17,17,11,2009
84,84,9127,2011-10-10,10/12/11,7,279.48,0.04,2039.56,-329.49,2369.05,-0.16154955,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Corporate,Bryan Davis,Canada,CA-Northwest Territories,Northwest Territories,0,2011-10-10,10,10,2011
85,85,9509,2012-10-07,10/8/12,36,320.98,0.02,12175.82,2825.15,9350.67,0.232029547,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaâ„¢ Round Back Stacking Chairs,Home Office,Joy Bell,Canada,CA-Northwest Territories,Northwest Territories,0,2012-10-07,7,10,2012
86,86,9509,2012-10-07,10/8/12,5,18.97,0.1,101.21,2.13,99.08,0.021045351,Office Supplies,Paper,Xerox 1887,Home Office,Joy Bell,Canada,CA-Northwest Territories,Northwest Territories,0,2012-10-07,7,10,2012
87,87,9509,2012-10-07,10/7/12,32,48.91,0.02,1585.64,707.15,878.49,0.445971343,Office Supplies,Paper,Xerox 1891,Home Office,Joy Bell,Canada,CA-Northwest Territories,Northwest Territories,0,2012-10-07,7,10,2012
88,88,9763,2011-08-13,8/16/11,44,4.13,0.07,176.26,75.13,101.13,0.426245319,Office Supplies,Labels,Avery 506,Corporate,Alan Barnes,Canada,CA-Northwest Territories,Northwest Territories,0,2011-08-13,13,8,2011
89,89,9927,2011-08-16,8/17/11,32,140.98,0.0,4655.07,-270.63,4925.7,-0.058136612,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Corporate,Grant Carroll,Canada,CA-Northwest Territories,Northwest Territories,1,2011-08-16,16,8,2011
90,90,9927,2011-08-16,8/17/11,44,218.08,0.01,10087.6,3387.35,6700.25,0.335793449,Furniture,Chairs & Chairmats,"Lifetime Advantageâ„¢ Folding Chairs, 4/Carton",Corporate,Grant Carroll,Canada,CA-Northwest Territories,Northwest Territories,1,2011-08-16,16,8,2011
91,91,9927,2011-08-16,8/17/11,34,50.98,0.09,1608.08,-82.16,1690.24,-0.051091985,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Corporate,Grant Carroll,Canada,CA-Northwest Territories,Northwest Territories,1,2011-08-16,16,8,2011
92,92,10022,2009-03-04,3/4/09,1,10.14,0.06,12.18,-3.88,16.06,-0.318555008,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Small Business,Delfina Latchford,Canada,CA-Northwest Territories,Northwest Territories,0,2009-03-04,4,3,2009
93,93,10437,2009-08-18,8/20/09,50,15.99,0.01,820.52,-191.22,1011.74,-0.233047336,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Corporate,Don Jones,Canada,CA-Northwest Territories,Northwest Territories,0,2009-08-18,18,8,2009
94,94,10499,2010-11-16,11/17/10,29,262.11,0.01,6250.936,31.21,6219.726,0.004992852,Furniture,Tables,Bevis Boat-Shaped Conference Table,Corporate,Doug Bickford,Canada,CA-Northwest Territories,Northwest Territories,0,2010-11-16,16,11,2010
95,95,10535,2011-05-27,5/29/11,25,33.98,0.09,854.88,-44.14,899.02,-0.051632978,Furniture,Office Furnishings,"LindenÂ® 12"" Wall Clock With Oak Frame",Corporate,Doug Bickford,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-27,27,5,2011
96,96,10535,2011-05-27,6/3/11,46,1.76,0.09,80.27,-0.79,81.06,-0.009841784,Office Supplies,Pens & Art Supplies,Newell 326,Corporate,Doug Bickford,Canada,CA-Northwest Territories,Northwest Territories,0,2011-05-27,27,5,2011
97,97,10789,2010-08-23,8/24/10,15,19.84,0.0,308.54,76.42,232.12,0.247682634,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Corporate,Jamie Kunitz,Canada,CA-Northwest Territories,Northwest Territories,0,2010-08-23,23,8,2010
98,98,10791,2011-08-19,8/21/11,20,19.98,0.05,400.57,93.36,307.21,0.233067878,Office Supplies,Paper,Xerox Blank Computer Paper,Small Business,Anthony Johnson,Canada,CA-Northwest Territories,Northwest Territories,0,2011-08-19,19,8,2011
99,99,10945,2012-01-03,1/5/12,14,95.99,0.04,1170.025,4.22,1165.805,0.003606761,Technology,Telephones and Communication,600 Series Flip,Consumer,Ralph Knight,Canada,CA-Northwest Territories,Northwest Territories,0,2012-01-03,3,1,2012
100,100,11137,2012-11-29,11/30/12,48,111.03,0.1,5188.86,395.12,4793.74,0.076147747,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Business,Allen Rosenblatt,Canada,CA-Northwest Territories,Northwest Territories,0,2012-11-29,29,11,2012
101,101,11202,2012-03-17,3/18/12,8,43.41,0.05,339.81,79.59,260.22,0.234219122,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Corporate,Barry Weirich,Canada,CA-Northwest Territories,Northwest Territories,0,2012-03-17,17,3,2012
